file,frame_ms,W,num_bins,smooth_bins,median_width,gt_count,pred_count,matched,missing,extra,MAE_ms,RMSE_ms,balanced_frame_error,match_tolerance_ms,T_energy,T_centroid,fallback
phone_M1.wav,20.0,3.0,80,3,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1139.1639011393615,False
studio_F1.wav,20.0,3.0,80,3,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00032033582560901793,1257.7289439035412,False
studio_M1.wav,20.0,3.0,80,3,5,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1289.1600679208195,False
phone_F1.wav,20.0,5.0,40,1,1,2,4,2,0,2,29.99999999999986,36.05551275463982,0.08558558558558559,150.0,0.004254283862537704,864.3390613110167,False
phone_M1.wav,20.0,5.0,40,1,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00031034616580048654,1103.6688701807338,False
studio_F1.wav,20.0,5.0,40,1,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003559269218773174,1269.4973550695915,False
studio_M1.wav,20.0,5.0,40,1,1,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0004273571014129405,1793.1619840097508,False
phone_F1.wav,20.0,5.0,40,1,3,2,4,2,0,2,19.999999999999908,22.36067977499787,0.08108108108108109,150.0,0.004254283862537704,864.3390613110167,False
phone_M1.wav,20.0,5.0,40,1,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00031034616580048654,1103.6688701807338,False
studio_F1.wav,20.0,5.0,40,1,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003559269218773174,1269.4973550695915,False
studio_M1.wav,20.0,5.0,40,1,3,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0004273571014129405,1793.1619840097508,False
phone_F1.wav,20.0,5.0,40,1,5,2,6,2,0,4,19.999999999999908,22.36067977499787,0.15315315315315314,150.0,0.004254283862537704,864.3390613110167,False
phone_M1.wav,20.0,5.0,40,1,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00031034616580048654,1103.6688701807338,False
studio_F1.wav,20.0,5.0,40,1,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003559269218773174,1269.4973550695915,False
studio_M1.wav,20.0,5.0,40,1,5,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0004273571014129405,1793.1619840097508,False
phone_F1.wav,20.0,5.0,40,3,1,2,4,1,1,3,89.99999999999997,89.99999999999997,0.2927927927927928,150.0,0.0037272517177188995,1498.742120491898,False
phone_M1.wav,20.0,5.0,40,3,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0007371188986871856,981.9716211797246,False
studio_F1.wav,20.0,5.0,40,3,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1481.3287560584997,False
studio_M1.wav,20.0,5.0,40,3,1,2,2,2,0,0,85.00000000000003,85.14693182963202,0.075,150.0,0.0005128284695330171,2433.5408891580396,False
phone_F1.wav,20.0,5.0,40,3,3,2,6,1,1,5,89.99999999999997,89.99999999999997,0.3918918918918919,150.0,0.0037272517177188995,1498.742120491898,False
phone_M1.wav,20.0,5.0,40,3,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0007371188986871856,981.9716211797246,False
studio_F1.wav,20.0,5.0,40,3,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1481.3287560584997,False
studio_M1.wav,20.0,5.0,40,3,3,2,2,1,1,1,89.99999999999997,89.99999999999997,0.13333333333333333,150.0,0.0005128284695330171,2433.5408891580396,False
phone_F1.wav,20.0,5.0,40,3,5,2,6,1,1,5,89.99999999999997,89.99999999999997,0.3738738738738739,150.0,0.0037272517177188995,1498.742120491898,False
phone_M1.wav,20.0,5.0,40,3,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0007371188986871856,981.9716211797246,False
studio_F1.wav,20.0,5.0,40,3,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1481.3287560584997,False
studio_M1.wav,20.0,5.0,40,3,5,2,2,1,1,1,50.00000000000004,50.00000000000004,0.19166666666666668,150.0,0.0005128284695330171,2433.5408891580396,False
phone_F1.wav,20.0,5.0,80,1,1,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.001619123138443683,642.2979905977082,False
phone_M1.wav,20.0,5.0,80,1,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1073.2445579304815,False
studio_F1.wav,20.0,5.0,80,1,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00028474472934071843,1222.42371040539,False
studio_M1.wav,20.0,5.0,80,1,1,2,2,2,0,0,35.00000000000003,38.07886552931957,0.03333333333333333,150.0,0.000341885733292864,1117.2064730198902,False
