file,training_copy,condition,reference_snr_db,seed,measured_reference_db,estimated_total_snr_db,gt_count,pred_count,matched,missing,extra,MAE_ms,RMSE_ms,balanced_frame_error,match_tolerance_ms
TIMIT_SI1573.wav,False,added_white_noise,20,20260935,20.0,19.51812653032061,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,20,20260936,20.0,19.36598917725697,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,10,20260934,9.999999999999998,9.866557824828702,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,10,20260935,10.0,10.004322472740173,2,8,1,1,7,42.499999999999986,42.499999999999986,0.22941176470588234,150.0
TIMIT_SI1573.wav,False,added_white_noise,10,20260936,10.0,9.87643030255468,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,0,20260934,0.0,-0.15501289057428153,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,0,20260935,0.0,0.094928830892258,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,0,20260936,0.0,-0.10307727934705892,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI2203.wav,False,original,,,,29.277413374822082,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,30,20260944,30.0,26.69019583517073,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,30,20260945,30.0,26.60490074531579,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,30,20260946,30.0,26.640446930739135,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,20,20260944,20.0,19.675330534173895,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,20,20260945,20.0,19.515793632155226,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,20,20260946,20.0,19.581396566320738,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,10,20260944,10.000000000000002,10.144035649975258,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,10,20260945,10.0,9.948279720736798,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
TIMIT_SI2203.wav,False,added_white_noise,10,20260946,10.0,10.03558802503594,2,3,1,1,2,1.2499999999999734,1.2499999999999734,0.1517857142857143,150.0
